AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-12:00,2020/01/18-18:00,18:00,1679.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-15:15,2020/01/18-06:05,9:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-13:55,2020/01/18-06:15,7:40,1502.0,1
Azul,mcz,bsb,2020/01/18-15:25,2020/01/18-06:20,9:5,1984.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-02:05,2020/01/18-18:45,7:20,1001.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-18:00,2020/01/18-06:50,11:10,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-13:05,2020/01/18-06:55,6:10,2011.0,1
Azul,mcz,bsb,2020/01/19-00:25,2020/01/18-19:55,4:30,262.0,1
LATAM Airlines Group,mcz,bsb,2020/01/19-09:55,2020/01/18-20:00,13:55,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-02:05,2020/01/18-20:10,5:55,1001.0,1
LATAM Airlines Group,mcz,bsb,2020/01/19-19:15,2020/01/18-20:15,23:00,4732.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-18:00,2020/01/18-08:25,9:35,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-18:00,2020/01/18-08:30,9:30,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-12:00,2020/01/18-20:30,15:30,1679.0,1
LATAM Airlines Group,mcz,bsb,2020/01/19-09:55,2020/01/18-20:35,13:20,2411.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-11:00,2020/01/18-08:40,2:20,1679.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-23:35,2020/01/18-21:10,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/19-09:55,2020/01/18-21:15,12:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-22:45,2020/01/18-09:25,13:20,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-16:25,2020/01/18-09:25,7:00,1502.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-15:15,2020/01/18-09:35,5:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-12:05,2020/01/18-09:45,2:20,1679.0,0
Azul,mcz,bsb,2020/01/19-15:40,2020/01/19-10:10,5:30,302.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-13:55,2020/01/19-22:50,15:5,1167.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-13:55,2020/01/19-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/19-20:30,2020/01/19-12:45,7:45,262.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-16:00,2020/01/19-13:35,2:25,387.0,0
LATAM Airlines Group,mcz,bsb,2020/01/19-15:55,2020/01/19-13:35,2:20,726.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-00:05,2020/01/19-13:55,10:10,1679.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-02:05,2020/01/19-14:45,11:20,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-02:05,2020/01/19-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-02:05,2020/01/19-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/19-11:05,2020/01/19-05:45,5:20,1242.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-01:35,2020/01/19-18:00,7:35,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-15:15,2020/01/19-06:05,9:10,1679.0,1
